"filename", "language", "JavaScript", "CSS", "JSON", "XML", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\carso\GitHub\Website\static\admin\img\icon-deletelink.564ef9dc3854.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-deletelink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-no.439e821418cd.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-no.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown-alt.81536e128bb6.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown.a18cb4398978.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-viewlink.41eb31f7826e.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-viewlink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-yes.d2f9f035226a.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-yes.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\inline-delete.fec1b761f254.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\inline-delete.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\search.7cf54ff789c6.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\search.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\selector-icons.b4555096cea2.svg", "XML", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\carso\GitHub\Website\static\admin\img\selector-icons.svg", "XML", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\carso\GitHub\Website\static\admin\img\sorting-icons.3a097b59f104.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
