"filename", "language", "Python", "CSS", "XML", "JavaScript", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\group-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\instagram-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\linkedin-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\mail-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\settings-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\carso\GitHub\Website\RRRApp\static\js\script.js", "JavaScript", 0, 0, 0, 554, 0, 0, 0, 70, 89, 713
"c:\Users\carso\GitHub\Website\RRRApp\templates\404.html", "HTML", 0, 0, 0, 0, 60, 0, 0, 0, 5, 65
"c:\Users\carso\GitHub\Website\RRRApp\templates\500.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\carso\GitHub\Website\RRRApp\templates\base.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 6, 10, 98
"c:\Users\carso\GitHub\Website\RRRApp\templates\cars.html", "HTML", 0, 0, 0, 0, 86, 0, 0, 0, 5, 91
"c:\Users\carso\GitHub\Website\RRRApp\templates\carshow.html", "HTML", 0, 0, 0, 0, 104, 0, 0, 0, 11, 115
"c:\Users\carso\GitHub\Website\RRRApp\templates\faq.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 2, 84
"c:\Users\carso\GitHub\Website\RRRApp\templates\index.html", "HTML", 0, 0, 0, 0, 205, 0, 0, 2, 15, 222
"c:\Users\carso\GitHub\Website\RRRApp\templates\privacy.html", "HTML", 0, 0, 0, 0, 63, 0, 0, 0, 13, 76
"c:\Users\carso\GitHub\Website\RRRApp\templates\sponsor.html", "HTML", 0, 0, 0, 0, 214, 0, 0, 0, 2, 216
"c:\Users\carso\GitHub\Website\RRRApp\templates\team.html", "HTML", 0, 0, 0, 0, 81, 0, 0, 0, 2, 83
"c:\Users\carso\GitHub\Website\RRRApp\templates\terms.html", "HTML", 0, 0, 0, 0, 46, 0, 0, 0, 10, 56
"c:\Users\carso\GitHub\Website\RRRApp\tests.py", "Python", 114, 0, 0, 0, 0, 0, 0, 15, 37, 166
"c:\Users\carso\GitHub\Website\RRRApp\urls.py", "Python", 23, 0, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Users\carso\GitHub\Website\RRRApp\views.py", "Python", 107, 0, 0, 0, 0, 0, 0, 16, 27, 150
"c:\Users\carso\GitHub\Website\static\admin\css\autocomplete.4a81fc4242d0.css", "CSS", 0, -227, 0, 0, 0, 0, 0, 0, -49, -276
"c:\Users\carso\GitHub\Website\static\admin\css\autocomplete.css", "CSS", 0, -227, 0, 0, 0, 0, 0, 0, -49, -276
