Date : 2023-11-06 17:06:25
Directory : c:\Users\carso\GitHub\Website\static
Total : 352 files,  54259 codes, 8665 comments, 11885 blanks, all 74809 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\carso\GitHub\Website\static\admin\img\gis\move_vertex_off.7a23bf31ef8a.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\Users\carso\GitHub\Website\static\admin\img\gis\move_vertex_off.svg                                          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\carso\GitHub\Website\static\admin\img\gis\move_vertex_on.0047eba25b67.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\carso\GitHub\Website\static\admin\img\gis\move_vertex_on.svg                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-addlink.d519b3bab011.svg                                    | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-addlink.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-alert.034cc7d8a67f.svg                                      | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-alert.svg                                                   | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-calendar.ac7aea671bea.svg                                   | XML        |          9 |          0 |          1 |         10 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-calendar.svg                                                | XML        |          9 |          0 |          1 |         10 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-changelink.18d2fd706348.svg                                 | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-changelink.svg                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-clock.e1d4dfac3f2b.svg                                      | XML        |          9 |          0 |          1 |         10 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-clock.svg                                                   | XML        |          9 |          0 |          1 |         10 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-deletelink.564ef9dc3854.svg                                 | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-deletelink.svg                                              | XML        |          3 |          0 |          1 |          4 |
